,Event,Description,Team,Lat,Lon
68,Blocked Shot,Carl Gunnarsson,St. Louis Blues,2.0,-70.0
69,Penalty,David Perron Interference against Brandon Carlo,St. Louis Blues,6.0,-12.0
71,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
73,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
74,Goal,"Patrice Bergeron (9) Tip-In, assists: Torey Krug (12), Jake DeBrusk (6)",Boston Bruins,3.0,-69.0
75,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,0.0,0.0
76,Hit,Noel Acciari hit Brayden Schenn,Boston Bruins,40.0,-74.0
77,Shot,Charlie McAvoy Slap Shot saved by Jordan Binnington,Boston Bruins,27.0,-36.0
78,Hit,Robert Bortuzzo hit Noel Acciari,St. Louis Blues,-39.0,-75.0
79,Hit,Noel Acciari hit Jaden Schwartz,Boston Bruins,39.0,-81.0
80,Hit,Tyler Bozak hit John Moore,St. Louis Blues,-39.0,-5.0
81,Blocked Shot,Tyler Bozak,St. Louis Blues,3.0,-71.0
82,Missed Shot,John Moore - Wide of Net,Boston Bruins,-25.0,-81.0
83,Hit,Jay Bouwmeester hit David Backes,St. Louis Blues,38.0,33.0
84,Hit,David Backes hit Ryan O'Reilly,Boston Bruins,40.0,-49.0
85,Hit,Brayden Schenn hit David Pastrnak,St. Louis Blues,20.0,-39.0
86,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,-9.0,64.0
87,Blocked Shot,David Pastrnak,Boston Bruins,-12.0,60.0
88,Hit,Alexander Steen hit John Moore,St. Louis Blues,-39.0,72.0
89,Hit,Ivan Barbashev hit Sean Kuraly,St. Louis Blues,18.0,28.0
90,Hit,Zach Sanford hit John Moore,St. Louis Blues,2.0,99.0
91,Hit,Noel Acciari hit Pat Maroon,Boston Bruins,-40.0,59.0
92,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-34.0,74.0
94,Penalty,Connor Clifton Roughing against Ivan Barbashev,Boston Bruins,1.0,80.0
95,Penalty,Ivan Barbashev Unsportsmanlike conduct against Connor Clifton,St. Louis Blues,-2.0,81.0
96,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
97,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-30.0,-11.0
98,Hit,Patrice Bergeron hit Jaden Schwartz,Boston Bruins,-40.0,16.0
100,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,20.0
101,Hit,Sean Kuraly hit Joel Edmundson,Boston Bruins,-33.0,-96.0
102,Hit,Joakim Nordstrom hit Joel Edmundson,Boston Bruins,40.0,49.0
103,Missed Shot,Tyler Bozak - Wide of Net,St. Louis Blues,-30.0,68.0
104,Hit,Robby Fabbri hit Charlie Coyle,St. Louis Blues,41.0,49.0
105,Takeaway,Takeaway by Jay Bouwmeester,St. Louis Blues,-26.0,-71.0
106,Takeaway,Takeaway by Pat Maroon,St. Louis Blues,40.0,82.0
107,Goal,"Charlie Coyle (8) Wrist Shot, assists: Marcus Johansson (7), Danton Heinen (6)",Boston Bruins,10.0,-67.0
108,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
109,Hit,David Backes hit Sammy Blais,Boston Bruins,40.0,-37.0
110,Takeaway,Takeaway by Jake DeBrusk,Boston Bruins,34.0,42.0
111,Hit,Colton Parayko hit Jake DeBrusk,St. Louis Blues,-41.0,-48.0
113,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
114,Goal,"Sean Kuraly (4) Wrist Shot, assists: Joakim Nordstrom (4)",Boston Bruins,-17.0,-38.0
117,Penalty,Delay of game served by David Perron,St. Louis Blues,1.0,-1.0
118,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
123,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
124,Hit,Jay Bouwmeester hit David Pastrnak,St. Louis Blues,-40.0,41.0
125,Goal,"David Pastrnak (8) Backhand, assists: Torey Krug (13), Patrice Bergeron (6)",Boston Bruins,9.0,79.0
126,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
127,Giveaway,Giveaway by Jordan Binnington,St. Louis Blues,3.0,80.0
128,Missed Shot,Sean Kuraly - Wide of Net,Boston Bruins,27.0,47.0
129,Blocked Shot,Carl Gunnarsson,St. Louis Blues,5.0,71.0
130,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,5.0,77.0
132,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
133,Shot,David Backes Tip-In saved by Jordan Binnington,Boston Bruins,-5.0,66.0
134,Hit,David Perron hit Brandon Carlo,St. Louis Blues,29.0,-96.0
135,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,4.0,-68.0
136,Hit,Charlie Coyle hit Jay Bouwmeester,Boston Bruins,35.0,96.0
138,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
139,Hit,Charlie McAvoy hit Pat Maroon,Boston Bruins,-40.0,-3.0
140,Hit,Charlie McAvoy hit Ivan Barbashev,Boston Bruins,32.0,-96.0
141,Missed Shot,Zach Sanford - Wide of Net,St. Louis Blues,9.0,-71.0
142,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-21.0,72.0
144,Faceoff,Brayden Schenn faceoff won against David Backes,St. Louis Blues,-22.0,69.0
145,Hit,Sammy Blais hit Charlie McAvoy,St. Louis Blues,25.0,-97.0
146,Blocked Shot,Charlie McAvoy,Boston Bruins,-2.0,-71.0
147,Hit,Joel Edmundson hit Noel Acciari,St. Louis Blues,-40.0,7.0
148,Hit,Charlie McAvoy hit David Perron,Boston Bruins,19.0,-96.0
149,Hit,Sammy Blais hit Marcus Johansson,St. Louis Blues,40.0,75.0
150,Missed Shot,Pat Maroon - Goalpost,St. Louis Blues,-25.0,-67.0
151,Takeaway,Takeaway by Danton Heinen,Boston Bruins,7.0,-72.0
152,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,11.0,-94.0
153,Takeaway,Takeaway by Connor Clifton,Boston Bruins,-6.0,-96.0
154,Hit,Zach Sanford hit Connor Clifton,St. Louis Blues,-23.0,-97.0
155,Blocked Shot,Joel Edmundson,St. Louis Blues,-10.0,74.0
156,Blocked Shot,Zach Sanford,St. Louis Blues,-11.0,61.0
157,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,18.0,76.0
158,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,16.0,84.0
160,Faceoff,Brayden Schenn faceoff won against David Krejci,St. Louis Blues,22.0,69.0
161,Shot,Brayden Schenn Wrap-around saved by Tuukka Rask,St. Louis Blues,10.0,-84.0
162,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,-5.0,-98.0
163,Penalty,Charlie McAvoy Slashing against Brayden Schenn,Boston Bruins,16.0,-93.0
164,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
165,Penalty,Pat Maroon Unsportsmanlike conduct,St. Louis Blues,25.0,-84.0
166,Penalty,Zdeno Chara Unsportsmanlike conduct,Boston Bruins,0.0,-2.0
167,Shot,Tyler Bozak Wrist Shot saved by Tuukka Rask,St. Louis Blues,5.0,-69.0
168,Missed Shot,Jaden Schwartz - Wide of Net,St. Louis Blues,-27.0,-60.0
169,Blocked Shot,Noel Acciari,Boston Bruins,1.0,-43.0
170,Missed Shot,Jaden Schwartz - Wide of Net,St. Louis Blues,-26.0,-65.0
171,Missed Shot,Ryan O'Reilly - Over Net,St. Louis Blues,3.0,-67.0
173,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-69.0
174,Shot,Vladimir Tarasenko Tip-In saved by Tuukka Rask,St. Louis Blues,-12.0,-70.0
175,Shot,Zach Sanford Tip-In saved by Tuukka Rask,St. Louis Blues,7.0,-76.0
176,Blocked Shot,Danton Heinen,Boston Bruins,5.0,-55.0
177,Goal,"Ivan Barbashev (3) Wrist Shot, assists: Zach Sanford (1), Alexander Steen (3)",St. Louis Blues,5.0,-72.0
178,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
180,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-20.0
181,Hit,Jaden Schwartz hit Brandon Carlo,St. Louis Blues,-41.0,-45.0
182,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-9.0,79.0
183,Penalty,Colton Parayko Hi-sticking against Brad Marchand,St. Louis Blues,-3.0,74.0
184,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
185,Missed Shot,Patrice Bergeron - Wide of Net,Boston Bruins,-4.0,65.0
186,Goal,"Torey Krug (2) Wrist Shot, assists: Brad Marchand (12), Patrice Bergeron (7)",Boston Bruins,-16.0,55.0
187,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,0.0,0.0
188,Hit,Sean Kuraly hit Alex Pietrangelo,Boston Bruins,35.0,93.0
189,Hit,Sean Kuraly hit Alex Pietrangelo,Boston Bruins,-39.0,-21.0
190,Hit,David Perron hit Charlie McAvoy,St. Louis Blues,-34.0,-94.0
191,Giveaway,Giveaway by Marcus Johansson,Boston Bruins,33.0,-84.0
192,Missed Shot,Alex Pietrangelo - Over Net,St. Louis Blues,0.0,-36.0
194,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
195,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-1.0,-66.0
196,Hit,John Moore hit Alexander Steen,Boston Bruins,-14.0,-97.0
197,Giveaway,Giveaway by Connor Clifton,Boston Bruins,-29.0,-79.0
199,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,22.0,-20.0
200,Hit,Robby Fabbri hit Connor Clifton,St. Louis Blues,-1.0,-97.0
201,Blocked Shot,John Moore,Boston Bruins,6.0,-74.0
202,Missed Shot,Sean Kuraly - Over Net,Boston Bruins,31.0,55.0
203,Shot,Alex Pietrangelo Snap Shot saved by Tuukka Rask,St. Louis Blues,31.0,-57.0
204,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,-21.0,-19.0
205,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,16.0,-54.0
206,Giveaway,Giveaway by Charlie McAvoy,Boston Bruins,-4.0,-16.0
207,Blocked Shot,Charlie McAvoy,Boston Bruins,-18.0,-62.0
208,Shot,Jaden Schwartz Wrist Shot saved by Tuukka Rask,St. Louis Blues,-22.0,-70.0
210,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
211,Hit,Patrice Bergeron hit Jay Bouwmeester,Boston Bruins,-41.0,39.0
212,Blocked Shot,Torey Krug,Boston Bruins,-4.0,-61.0
214,Faceoff,Noel Acciari faceoff won against Ivan Barbashev,Boston Bruins,-22.0,-69.0
216,Faceoff,David Krejci faceoff won against Ivan Barbashev,Boston Bruins,22.0,20.0
217,Hit,Jake DeBrusk hit Alex Pietrangelo,Boston Bruins,40.0,70.0
218,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,32.0,20.0
219,Blocked Shot,Connor Clifton,Boston Bruins,-1.0,-66.0
220,Shot,Alexander Steen Wrist Shot saved by Tuukka Rask,St. Louis Blues,3.0,-71.0
221,Hit,Ivan Barbashev hit Jake DeBrusk,St. Louis Blues,40.0,54.0
222,Giveaway,Giveaway by Charlie McAvoy,Boston Bruins,-27.0,20.0
223,Hit,Jay Bouwmeester hit Charlie McAvoy,St. Louis Blues,-39.0,38.0
224,Missed Shot,Ryan O'Reilly - Goalpost,St. Louis Blues,-22.0,-64.0
225,Missed Shot,Sammy Blais - Wide of Net,St. Louis Blues,-18.0,-78.0
227,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
228,Shot,David Krejci Wrist Shot saved by Jake Allen,Boston Bruins,16.0,70.0
229,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-29.0,-75.0
230,Hit,Alex Pietrangelo hit David Krejci,St. Louis Blues,25.0,-97.0
235,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
236,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,0.0,13.0
238,Faceoff,Sean Kuraly faceoff won against Ivan Barbashev,Boston Bruins,-22.0,69.0
239,Hit,Sean Kuraly hit Colton Parayko,Boston Bruins,20.0,-97.0
240,Hit,Joakim Nordstrom hit Alexander Steen,Boston Bruins,40.0,21.0
241,Blocked Shot,Connor Clifton,Boston Bruins,7.0,75.0
242,Shot,Sammy Blais Wrist Shot saved by Tuukka Rask,St. Louis Blues,5.0,82.0
243,Shot,Sammy Blais Tip-In saved by Tuukka Rask,St. Louis Blues,7.0,78.0
244,Shot,Sammy Blais Tip-In saved by Tuukka Rask,St. Louis Blues,5.0,80.0
246,Penalty,David Perron Roughing against Tuukka Rask,St. Louis Blues,1.0,81.0
247,Penalty,Connor Clifton Cross checking against David Perron,Boston Bruins,3.0,79.0
248,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
249,Missed Shot,Colton Parayko - Wide of Net,St. Louis Blues,-2.0,42.0
250,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
251,Penalty,Brandon Carlo Interference against Ryan O'Reilly,Boston Bruins,-1.0,81.0
252,Missed Shot,Ryan O'Reilly - Wide of Net,St. Louis Blues,-21.0,69.0
253,Blocked Shot,Zdeno Chara,Boston Bruins,4.0,65.0
254,Shot,Jaden Schwartz Wrist Shot saved by Tuukka Rask,St. Louis Blues,0.0,77.0
255,Hit,Pat Maroon hit Joakim Nordstrom,St. Louis Blues,-40.0,49.0
256,Takeaway,Takeaway by Connor Clifton,Boston Bruins,0.0,79.0
257,Hit,Joel Edmundson hit Marcus Johansson,St. Louis Blues,40.0,40.0
258,Penalty,Zdeno Chara Roughing against Carl Gunnarsson,Boston Bruins,-20.0,99.0
259,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
260,Goal,"Colton Parayko (2) Slap Shot, assists: Ryan O'Reilly (13), Tyler Bozak (7)",St. Louis Blues,1.0,38.0
261,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
262,Penalty,Jake DeBrusk Delaying Game - Puck over glass,Boston Bruins,-37.0,14.0
264,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
266,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
267,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,25.0,37.0
268,Blocked Shot,Noel Acciari,Boston Bruins,-10.0,52.0
269,Takeaway,Takeaway by Brad Marchand,Boston Bruins,2.0,62.0
270,Missed Shot,Zach Sanford - Wide of Net,St. Louis Blues,12.0,56.0
271,Blocked Shot,Jay Bouwmeester,St. Louis Blues,2.0,-70.0
272,Blocked Shot,Colton Parayko,St. Louis Blues,-21.0,-44.0
274,Faceoff,Tyler Bozak faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
275,Hit,Danton Heinen hit Alex Pietrangelo,Boston Bruins,-41.0,77.0
276,Blocked Shot,Zdeno Chara,Boston Bruins,-15.0,81.0
277,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,12.0,15.0
278,Hit,Alex Pietrangelo hit David Krejci,St. Louis Blues,20.0,-97.0
279,Takeaway,Takeaway by Vladimir Tarasenko,St. Louis Blues,41.0,63.0
281,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,22.0,20.0
282,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,4.0,-8.0
283,Shot,Brad Marchand Wrist Shot saved by Jake Allen,Boston Bruins,15.0,-66.0
284,Shot,Patrice Bergeron Wrist Shot saved by Jake Allen,Boston Bruins,10.0,-79.0
286,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-69.0
287,Blocked Shot,Danton Heinen,Boston Bruins,13.0,55.0
288,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,30.0,37.0
289,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,5.0,53.0
291,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-20.0
292,Missed Shot,Colton Parayko - Wide of Net,St. Louis Blues,-18.0,37.0
293,Shot,Brayden Schenn Tip-In saved by Tuukka Rask,St. Louis Blues,14.0,77.0
294,Hit,David Backes hit Ryan O'Reilly,Boston Bruins,-40.0,63.0
295,Takeaway,Takeaway by Jake DeBrusk,Boston Bruins,40.0,65.0
297,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-20.0
298,Takeaway,Takeaway by Brad Marchand,Boston Bruins,-35.0,-58.0
299,Hit,David Perron hit Brad Marchand,St. Louis Blues,-37.0,-70.0
300,Giveaway,Giveaway by Jake Allen,St. Louis Blues,2.0,-97.0
301,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,-5.0,96.0
302,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,22.0,62.0
304,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
305,Missed Shot,Sean Kuraly - Wide of Net,Boston Bruins,31.0,-66.0
306,Blocked Shot,Charlie McAvoy,Boston Bruins,9.0,73.0
307,Shot,Ivan Barbashev Backhand saved by Tuukka Rask,St. Louis Blues,-14.0,83.0
308,Blocked Shot,Zdeno Chara,Boston Bruins,-4.0,67.0
309,Blocked Shot,Noel Acciari,Boston Bruins,10.0,59.0
310,Goal,"Noel Acciari (2) Wrist Shot, assists: Joakim Nordstrom (5), Charlie Coyle (7)",Boston Bruins,1.0,-62.0
311,Penalty,Alex Pietrangelo Slashing against Noel Acciari,St. Louis Blues,1.0,-74.0
312,Faceoff,Charlie Coyle faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
313,Hit,Ivan Barbashev hit Connor Clifton,St. Louis Blues,38.0,-36.0
314,Goal,"Marcus Johansson (4) Slap Shot, assists: Torey Krug (14), Connor Clifton (3)",Boston Bruins,17.0,-58.0
315,Faceoff,Noel Acciari faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
316,Hit,Robby Fabbri hit Brandon Carlo,St. Louis Blues,-9.0,98.0
317,Missed Shot,Jay Bouwmeester - Wide of Net,St. Louis Blues,36.0,57.0
318,Hit,Robby Fabbri hit Danton Heinen,St. Louis Blues,-40.0,-34.0
,Event,Description,Team,Lat,Lon
3,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
4,Hit,Ivan Barbashev hit Zdeno Chara,St. Louis Blues,-41.0,9.0
5,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,25.0,64.0
7,Faceoff,Ryan O'Reilly faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
8,Blocked Shot,Joakim Nordstrom,Boston Bruins,-15.0,70.0
9,Shot,Zach Sanford Tip-In saved by Tuukka Rask,St. Louis Blues,6.0,76.0
10,Goal,"Ryan O'Reilly (4) Wrap-around, assists: Zach Sanford (2), Vince Dunn (6)",St. Louis Blues,-9.0,89.0
11,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
12,Hit,Joel Edmundson hit Brandon Carlo,St. Louis Blues,40.0,8.0
13,Hit,Torey Krug hit Alex Pietrangelo,Boston Bruins,-40.0,73.0
14,Shot,David Backes Snap Shot saved by Jordan Binnington,Boston Bruins,1.0,-14.0
16,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,22.0,-69.0
17,Hit,Alexander Steen hit Patrice Bergeron,St. Louis Blues,39.0,70.0
18,Hit,Oskar Sundqvist hit David Pastrnak,St. Louis Blues,25.0,-97.0
19,Shot,Charlie McAvoy Wrist Shot saved by Jordan Binnington,Boston Bruins,31.0,-58.0
20,Missed Shot,Ivan Barbashev - Wide of Net,St. Louis Blues,-15.0,71.0
21,Hit,Oskar Sundqvist hit Charlie McAvoy,St. Louis Blues,40.0,76.0
22,Missed Shot,Oskar Sundqvist - Wide of Net,St. Louis Blues,-27.0,72.0
23,Hit,Jake DeBrusk hit Zach Sanford,Boston Bruins,40.0,69.0
25,Faceoff,David Backes faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
27,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,22.0,69.0
29,Faceoff,Brayden Schenn faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
30,Missed Shot,Vladimir Tarasenko - Over Net,St. Louis Blues,-29.0,61.0
31,Takeaway,Takeaway by Carl Gunnarsson,St. Louis Blues,-17.0,-39.0
32,Hit,David Krejci hit Joel Edmundson,Boston Bruins,-41.0,-84.0
33,Takeaway,Takeaway by David Perron,St. Louis Blues,-22.0,33.0
34,Hit,Noel Acciari hit Zach Sanford,Boston Bruins,41.0,37.0
35,Shot,Zach Sanford Wrist Shot saved by Tuukka Rask,St. Louis Blues,-3.0,47.0
37,Faceoff,Sean Kuraly faceoff won against Sammy Blais,Boston Bruins,-22.0,69.0
38,Hit,Sammy Blais hit John Moore,St. Louis Blues,-40.0,86.0
39,Hit,Tyler Bozak hit Connor Clifton,St. Louis Blues,1.0,99.0
40,Blocked Shot,Connor Clifton,Boston Bruins,7.0,72.0
42,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
43,Hit,Vladimir Tarasenko hit Torey Krug,St. Louis Blues,9.0,99.0
44,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,20.0,69.0
46,Faceoff,Brayden Schenn faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
47,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,-13.0,-76.0
48,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-29.0,-5.0
49,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,-25.0,74.0
50,Hit,Alexander Steen hit Connor Clifton,St. Louis Blues,16.0,98.0
51,Missed Shot,Colton Parayko - Over Net,St. Louis Blues,-18.0,36.0
52,Giveaway,Giveaway by David Pastrnak,Boston Bruins,36.0,84.0
53,Takeaway,Takeaway by Colton Parayko,St. Louis Blues,-40.0,49.0
54,Hit,Alexander Steen hit Connor Clifton,St. Louis Blues,2.0,97.0
55,Hit,Ivan Barbashev hit John Moore,St. Louis Blues,-40.0,87.0
56,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-9.0,91.0
57,Hit,Jake DeBrusk hit Vince Dunn,Boston Bruins,7.0,-96.0
58,Hit,David Backes hit Zach Sanford,Boston Bruins,-14.0,28.0
59,Takeaway,Takeaway by Charlie Coyle,Boston Bruins,-19.0,-22.0
61,Faceoff,Brayden Schenn faceoff won against Charlie Coyle,St. Louis Blues,22.0,-69.0
62,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,-35.0,40.0
63,Hit,Ivan Barbashev hit Charlie McAvoy,St. Louis Blues,41.0,26.0
64,Shot,Danton Heinen Wrist Shot saved by Jordan Binnington,Boston Bruins,-28.0,-72.0
66,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,-69.0
67,Hit,Patrice Bergeron hit Oskar Sundqvist,Boston Bruins,42.0,48.0
68,Blocked Shot,Zdeno Chara,Boston Bruins,8.0,76.0
70,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,22.0,69.0
71,Hit,David Backes hit Sammy Blais,Boston Bruins,40.0,-62.0
72,Giveaway,Giveaway by Alex Pietrangelo,St. Louis Blues,-17.0,-94.0
73,Shot,John Moore Wrist Shot saved by Jordan Binnington,Boston Bruins,-23.0,-38.0
75,Faceoff,David Krejci faceoff won against Sammy Blais,Boston Bruins,-22.0,-69.0
76,Missed Shot,Jake DeBrusk - Wide of Net,Boston Bruins,-13.0,-55.0
77,Hit,Pat Maroon hit John Moore,St. Louis Blues,35.0,-34.0
78,Shot,Zach Sanford Wrist Shot saved by Tuukka Rask,St. Louis Blues,34.0,69.0
80,Faceoff,Noel Acciari faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
81,Hit,Sean Kuraly hit Colton Parayko,Boston Bruins,7.0,-96.0
82,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,13.0,-75.0
84,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,-22.0,-20.0
85,Shot,Zdeno Chara Wrist Shot saved by Jordan Binnington,Boston Bruins,-25.0,-39.0
86,Hit,Charlie Coyle hit Vladimir Tarasenko,Boston Bruins,40.0,-43.0
88,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,20.0
89,Hit,Ivan Barbashev hit Brandon Carlo,St. Louis Blues,40.0,45.0
90,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,28.0,34.0
91,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,2.0,-59.0
92,Shot,Ivan Barbashev Tip-In saved by Tuukka Rask,St. Louis Blues,-6.0,77.0
94,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
95,Takeaway,Takeaway by Charlie McAvoy,Boston Bruins,-34.0,43.0
96,Takeaway,Takeaway by Pat Maroon,St. Louis Blues,-31.0,42.0
97,Giveaway,Giveaway by Pat Maroon,St. Louis Blues,-24.0,53.0
98,Blocked Shot,Joakim Nordstrom,Boston Bruins,-20.0,67.0
99,Hit,Noel Acciari hit Vince Dunn,Boston Bruins,40.0,84.0
101,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
102,Hit,David Krejci hit David Perron,Boston Bruins,41.0,75.0
103,Hit,Joel Edmundson hit David Backes,St. Louis Blues,40.0,-49.0
104,Hit,David Backes hit Ryan O'Reilly,Boston Bruins,33.0,-96.0
105,Hit,Zach Sanford hit Jake DeBrusk,St. Louis Blues,-41.0,25.0
106,Hit,Brayden Schenn hit Danton Heinen,St. Louis Blues,-19.0,-43.0
107,Shot,Zdeno Chara Wrist Shot saved by Jordan Binnington,Boston Bruins,-32.0,-57.0
108,Goal,"Charlie Coyle (9) Wrist Shot, assists: Zdeno Chara (4)",Boston Bruins,8.0,-77.0
109,Faceoff,Brayden Schenn faceoff won against Charlie Coyle,St. Louis Blues,0.0,0.0
110,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-28.0,63.0
112,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,69.0
113,Giveaway,Giveaway by David Pastrnak,Boston Bruins,35.0,85.0
115,Faceoff,Ryan O'Reilly faceoff won against Jake DeBrusk,St. Louis Blues,22.0,-20.0
117,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-20.0
118,Hit,Zach Sanford hit David Pastrnak,St. Louis Blues,40.0,-10.0
119,Hit,David Pastrnak hit Zach Sanford,Boston Bruins,38.0,-46.0
